"ID.point","Station","Date","Long","Lat","Elevation","CE","DQO","OD","pH","SST","T.","Turb","NT","PT"
20812,27916,"13/10/2011 ",-74.4705,5.011305555556,790,372,170,6.7,7,3820,24.8,3140,8.5,0.05
20813,27897,"16/10/2011 ",-74.447055555556,5.125305555556,620,312,87,NA,7,1660,23.3,1170,2.1,0.81
20814,27963,"15/1/2011 ",-70.239111111111,1.259555555556,180,9.1,10,5.7,6.24,4.5,27.6,2,0.5,0.05
20825,27564,"8/10/2011 ",-73.958805555556,9.930972222222,80,165.9,38,5.6,7,9.6,27.9,14,0.5,0.28
20826,27808,"15/10/2011 ",-73.7325,9.193194444444,28.32,112,93,6,7,590,27.8,770,1.7,1
20828,27640,"19/10/2011 ",-72.936383333333,4.103019444444,177.417,14.03,38,6,6.82,280,26.2,740,0.68,0.61
20829,27601,"19/10/2011 ",-73.635361111111,4.235333333333,523,109.4,27,8.6,7.18,72,22.4,29,0.5,0.06
20835,27609,"20/10/2011 ",-73.646388888889,9.648527777778,45,231,29,4.8,7.35,24,27.2,28,1.1,0.32
20836,27689,"25/10/2011 ",-75.308527777778,2.942611111111,431.265,118.4,23,5.7,6.68,58,25.5,50,0.5,0.17
20837,27809,"27/10/2011 ",-75.1155,3.361138888889,420,93.9,21,7.1,6.05,190,24.3,95,0.65,0.19
20838,27892,"28/10/2011 ",-75.149666666667,2.921111111111,650,134.8,10,8,6.88,55,21,45,0.5,0.22
20846,9119,"3/11/2011 ",-73.833333333333,4.666666666667,3077,92,16,7.2,8.13,4.5,11.7,2.3,0.5,0.05
20847,27832,"1/11/2011 ",-72.605472222222,7.687972222222,730,173,10,6.7,4.09,0.04,24.8,26,0.5,0.16
20848,9118,"4/11/2011 ",-73.857388888889,4.664944444444,2553,22.6,10,7.3,8.75,4.5,13.6,2,0.5,0.32
20849,9120,"4/11/2011 ",-73.833333333333,4.65,3400,47.8,10,7.7,8.54,5.2,15.8,2,0.5,0.32
20910,27731,"6/11/2011 ",-74.876833333333,3.328138888889,730,56.5,56,6.9,6.29,170,22.4,250,0.72,0.15
20916,27423,"9/11/2011 ",-75.118944444444,3.44325,340.273,131.4,33,6.9,6.29,580,25.7,770,1.2,0.55
20917,27704,"4/11/2011 ",-72.434722222222,8.350277777778,47,177.8,10,6.3,6.35,580,29.8,510,0.93,0.4
20918,8875,"5/11/2011 ",-72.650833333333,7.836388888889,270,0.5,22,4.55,5.85,NA,0.04,80,0.28,0.08
20919,27416,"9/11/2011 ",-72.417222222222,8.233611111111,70,301,34,5.1,7.14,540,30.3,500,1.5,0.71
20920,27661,"11/11/2011 ",-73.969444444444,8.992527777778,29.49,172.1,110,6.3,7.71,730,28.5,650,1.4,0.76
20950,29876,"15/11/2011 ",-75.417333333333,7.987972222222,39.97,84.3,18,6.3,7.24,370,28.6,360,0.7,0.33
20951,27958,"16/11/2011 ",-75.239,8.313722222222,27.015,79.7,23,5.8,6.27,410,26.5,400,0.69,0.31
20968,27876,"16/11/2011 ",-75.350277777778,6.199722222222,2091,61.4,37,6.4,6.42,190,17.3,150,1.3,0.27
20970,27968,"18/11/2011 ",-75.286055555556,4.482055555556,1450,186.9,10,7.4,6.9,210,21,260,1,0.22
20974,27878,"22/11/2011 ",-75.269166666667,2.9925,430,112.3,54,7,7.57,1150,23.3,790,2,1.4
20975,8810,"22/11/2011 ",-75.357472222222,3.053888888889,471,110.3,27,7.6,7.85,570,22.8,500,1.5,0.58
20976,27846,"23/11/2011 ",-75.396583333333,2.755555555556,460,120,19,5.3,7.28,97,24.1,180,1,0.08
20977,27866,"24/11/2011 ",-75.592444444444,2.971777777778,1270,127.5,10,7.7,8.06,160,16.7,76,0.53,0.25
20978,27860,"24/11/2011 ",-75.521055555556,2.95425,866,124.3,18,8,8.1,350,18.6,220,0.76,0.37
20979,27785,"24/11/2011 ",-76.662166666667,5.69,27,27.5,12,6.8,6.66,430,24.5,330,0.74,0.31
20980,27908,"25/11/2011 ",-75.544305555556,2.643805555556,575,140,15,7.7,7.83,190,22.5,270,1.8,0.23
20981,27574,"26/11/2011 ",-75.567361111111,2.463444444444,662.477,96.6,38,7.6,7.73,810,22.5,630,1.9,0.82
20982,27921,"27/11/2011 ",-76.401111111111,1.905,1700,78.6,19,8,7.82,8,15.1,5.4,0.5,0.05
20983,8872,"27/11/2011 ",-76.233,1.869527777778,1233,61.1,12,7.5,7.91,9,19.3,6,0.62,0.05
20985,27908,"24/11/2011 ",-75.544305555556,2.643805555556,575,104.4,27,7.3,6.8,390,23.2,420,1.3,0.18
20986,27820,"28/11/2011 ",-75.944361111111,1.752416666667,1291,53.3,10,7.5,7.7,10,18.5,12,0.5,0.06
20987,8828,"28/11/2011 ",-76.058666666667,1.950638888889,1050,63.5,74,7.6,7.5,600,19.8,410,2.5,0.05
20988,8351,"29/11/2011 ",-76.123333333333,1.715833333333,1463,32.6,13,7.9,7.52,4.5,17.2,2.6,0.5,0.05
20989,8823,"29/11/2011 ",-76.089444444444,1.766666666667,1334,65,16,7.7,7.73,4.5,20,4.3,0.5,0.05
20990,8593,"29/11/2011 ",-76.146111111111,1.870555555556,1208,102.9,19,7.1,7.75,33,22.5,28,0.85,0.13
20991,27688,"29/11/2011 ",-73.236055555556,10.386166666667,113,233,37,6.8,6.96,320,25.1,420,1.5,0.61
20992,27627,"29/11/2011 ",-73.668888888889,4.086083333333,432.552,54.5,10,5.9,6.43,37,27.8,36.5,0.87,0.08
20993,27807,"30/11/2011 ",-76.012027777778,1.988111111111,990,66.3,22,7.7,7.61,46,18.6,34,0.67,0.08
21091,27724,"14/12/2011 ",-74.6775,6.279444444444,127,25.7,22,7.7,7.51,300,24,190,0.61,0.25
21117,9167,"20/12/2011 ",-73.775833333333,7.471944444444,78,19.92,10,NA,6.13,4.5,29.8,5.1,0.5,0.05
21118,9168,"20/12/2011 ",-73.774166666667,7.461666666667,78,18.3,10,NA,6.11,4.5,30.7,5.3,0.5,0.06
21119,9169,"20/12/2011 ",-73.778055555556,7.435555555556,78,19.62,15,NA,6.1,4.5,31.4,5.2,0.5,0.1
21120,9170,"20/12/2011 ",-73.773055555556,7.451944444444,78,18.76,10,NA,6.18,4.5,31.6,5.3,0.5,0.12
21121,9171,"20/12/2011 ",-73.776388888889,7.423611111111,78,19.45,10,NA,6.28,4.5,31.1,5.2,0.5,0.13
